note_id,deal_id,account_id,note_date,note_text
N01454,D00820,A01276,2025-07-28,Customer responded well to collaboration features and ease of use.
N01455,D00820,A01276,2025-07-23,Prospect liked the template library and fast export workflow.
N01456,D00821,A01032,2025-04-29,Team liked the ease of onboarding and quick time to value.
N01457,D00821,A01032,2025-04-20,Prospect liked the template library and fast export workflow.
N01458,D00822,A00768,2025-02-15,Prospect said onboarding seemed harder than expected for their team.
N01459,D00822,A00768,2025-02-17,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01460,D00823,A00875,2025-06-19,Prospect said onboarding seemed harder than expected for their team.
N01461,D00823,A00875,2025-06-25,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01462,D00824,A01232,2026-02-18,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01463,D00825,A00937,2025-06-28,Buyer saw strong value in the AI-assisted design tools.
N01464,D00825,A00937,2025-06-09,Buyer saw strong value in the AI-assisted design tools.
N01465,D00826,A00131,2025-12-21,Deal slowed after prospect compared collaboration features with Figma.
N01466,D00827,A01760,2025-12-16,Buyer saw strong value in the AI-assisted design tools.
N01467,D00827,A01760,2025-11-26,Prospect liked the template library and fast export workflow.
N01468,D00828,A01733,2025-09-12,Prospect said onboarding seemed harder than expected for their team.
N01469,D00828,A01733,2025-09-02,Prospect said onboarding seemed harder than expected for their team.
N01470,D00829,A01678,2025-06-06,Prospect liked the template library and fast export workflow.
N01471,D00830,A01788,2025-09-07,Prospect liked the product but said Canva has stronger template variety.
N01472,D00830,A01788,2025-08-21,Customer raised concerns that Canva is already adopted by the team.
N01473,D00831,A00608,2025-02-27,Deal slowed after prospect compared collaboration features with Adobe Express.
N01474,D00831,A00608,2025-02-11,Deal slowed after prospect compared collaboration features with Adobe Express.
N01475,D00832,A00026,2026-01-22,Customer raised concerns that Adobe Express is already adopted by the team.
N01476,D00833,A01647,2025-02-25,Prospect liked the product but said Canva has stronger template variety.
N01477,D00833,A01647,2025-02-06,Prospect liked the product but said Canva has stronger template variety.
N01478,D00834,A01478,2026-01-26,Prospect liked the product but said Adobe Express has stronger template variety.
N01479,D00834,A01478,2026-01-25,Customer raised concerns that Adobe Express is already adopted by the team.
N01480,D00835,A00635,2025-11-27,Buyer saw strong value in the AI-assisted design tools.
N01481,D00835,A00635,2025-11-29,Team liked the ease of onboarding and quick time to value.
N01482,D00836,A01210,2025-11-25,Prospect liked the template library and fast export workflow.
N01483,D00836,A01210,2025-12-13,Prospect liked the template library and fast export workflow.
N01484,D00837,A00484,2025-06-04,Deal slowed after prospect compared collaboration features with Canva.
N01485,D00838,A00680,2025-07-11,Team liked the ease of onboarding and quick time to value.
N01486,D00838,A00680,2025-06-14,Customer responded well to collaboration features and ease of use.
N01487,D00839,A01075,2025-11-03,Buyer saw strong value in the AI-assisted design tools.
N01488,D00840,A01915,2025-04-26,Customer responded well to collaboration features and ease of use.
N01489,D00840,A01915,2025-04-09,Team liked the ease of onboarding and quick time to value.
N01490,D00840,A01915,2025-04-06,Buyer saw strong value in the AI-assisted design tools.
N01491,D00841,A00005,2025-11-06,Deal slowed after prospect compared collaboration features with Canva.
N01492,D00842,A00589,2025-05-10,Buyer saw strong value in the AI-assisted design tools.
N01493,D00842,A00589,2025-04-19,Team liked the ease of onboarding and quick time to value.
N01494,D00842,A00589,2025-05-06,Buyer saw strong value in the AI-assisted design tools.
N01495,D00843,A01184,2025-11-25,Deal slowed after prospect compared collaboration features with Adobe Express.
N01496,D00843,A01184,2025-11-27,Deal slowed after prospect compared collaboration features with Adobe Express.
N01497,D00843,A01184,2025-12-02,Prospect liked the product but said Adobe Express has stronger template variety.
N01498,D00844,A00208,2025-11-15,Team liked the ease of onboarding and quick time to value.
N01499,D00845,A00257,2026-03-03,Team liked the ease of onboarding and quick time to value.
N01500,D00845,A00257,2026-03-24,Prospect liked the template library and fast export workflow.
N01501,D00845,A00257,2026-02-28,Customer responded well to collaboration features and ease of use.
N01502,D00846,A01229,2025-05-05,Customer responded well to collaboration features and ease of use.
N01503,D00846,A01229,2025-04-18,Customer responded well to collaboration features and ease of use.
N01504,D00846,A01229,2025-04-18,Customer responded well to collaboration features and ease of use.
N01505,D00847,A01791,2025-04-19,Prospect said onboarding seemed harder than expected for their team.
N01506,D00847,A01791,2025-04-16,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01507,D00847,A01791,2025-04-22,Prospect said onboarding seemed harder than expected for their team.
N01508,D00848,A01974,2025-08-13,Customer responded well to collaboration features and ease of use.
N01509,D00849,A00011,2025-05-27,Customer responded well to collaboration features and ease of use.
N01510,D00849,A00011,2025-05-23,Customer responded well to collaboration features and ease of use.
N01511,D00849,A00011,2025-05-11,Team liked the ease of onboarding and quick time to value.
N01512,D00850,A00949,2025-12-08,Deal slowed after prospect compared collaboration features with Figma.
N01513,D00851,A00008,2026-01-13,Deal slowed after prospect compared collaboration features with Canva.
N01514,D00851,A00008,2026-01-03,Deal slowed after prospect compared collaboration features with Canva.
N01515,D00851,A00008,2026-01-08,Prospect liked the product but said Canva has stronger template variety.
N01516,D00852,A01433,2025-12-02,Prospect liked the product but said Figma has stronger template variety.
N01517,D00853,A00936,2025-06-22,Prospect liked the product but said Adobe Express has stronger template variety.
N01518,D00854,A00032,2026-03-09,Team liked the ease of onboarding and quick time to value.
N01519,D00854,A00032,2026-03-05,Buyer saw strong value in the AI-assisted design tools.
N01520,D00855,A00540,2025-11-14,Prospect liked the product but said Figma has stronger template variety.
N01521,D00855,A00540,2025-12-14,Deal slowed after prospect compared collaboration features with Figma.
N01522,D00856,A01742,2025-10-19,Buyer saw strong value in the AI-assisted design tools.
N01523,D00857,A01005,2025-10-10,Team liked the ease of onboarding and quick time to value.
N01524,D00857,A01005,2025-10-06,Team liked the ease of onboarding and quick time to value.
N01525,D00858,A00387,2025-10-03,Customer responded well to collaboration features and ease of use.
N01526,D00858,A00387,2025-10-03,Buyer saw strong value in the AI-assisted design tools.
N01527,D00859,A01252,2025-03-23,Prospect liked the product but said Figma has stronger template variety.
N01528,D00859,A01252,2025-03-19,Prospect liked the product but said Figma has stronger template variety.
N01529,D00859,A01252,2025-03-08,Customer raised concerns that Figma is already adopted by the team.
N01530,D00860,A00640,2025-06-03,Buyer saw strong value in the AI-assisted design tools.
N01531,D00860,A00640,2025-06-02,Buyer saw strong value in the AI-assisted design tools.
N01532,D00861,A01791,2025-06-13,Prospect liked the template library and fast export workflow.
N01533,D00861,A01791,2025-06-23,Customer responded well to collaboration features and ease of use.
N01534,D00861,A01791,2025-07-08,Prospect liked the template library and fast export workflow.
N01535,D00862,A01499,2025-11-29,Prospect liked the template library and fast export workflow.
N01536,D00863,A01748,2025-04-27,Buyer saw strong value in the AI-assisted design tools.
N01537,D00864,A01775,2025-08-23,Team liked the ease of onboarding and quick time to value.
N01538,D00864,A01775,2025-09-11,Buyer saw strong value in the AI-assisted design tools.
N01539,D00865,A00207,2025-11-06,Customer responded well to collaboration features and ease of use.
N01540,D00865,A00207,2025-11-08,Team liked the ease of onboarding and quick time to value.
N01541,D00866,A01342,2025-03-28,Team liked the ease of onboarding and quick time to value.
N01542,D00866,A01342,2025-04-13,Customer responded well to collaboration features and ease of use.
N01543,D00867,A01819,2025-04-03,Customer raised concerns that Canva is already adopted by the team.
N01544,D00868,A01781,2025-05-08,Customer raised concerns that Piktochart is already adopted by the team.
N01545,D00868,A01781,2025-05-16,Prospect liked the product but said Piktochart has stronger template variety.
N01546,D00868,A01781,2025-04-28,Prospect liked the product but said Piktochart has stronger template variety.
N01547,D00869,A00557,2025-08-20,Deal slowed after prospect compared collaboration features with Canva.
N01548,D00869,A00557,2025-08-26,Customer raised concerns that Canva is already adopted by the team.
N01549,D00869,A00557,2025-08-11,Deal slowed after prospect compared collaboration features with Canva.
N01550,D00870,A01641,2025-01-26,Buyer saw strong value in the AI-assisted design tools.
N01551,D00871,A00348,2025-02-25,Team liked the ease of onboarding and quick time to value.
N01552,D00871,A00348,2025-02-28,Buyer saw strong value in the AI-assisted design tools.
N01553,D00872,A00793,2026-01-23,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01554,D00873,A00234,2025-11-28,Prospect liked the product but said Adobe Express has stronger template variety.
N01555,D00874,A01725,2025-11-30,Prospect liked the template library and fast export workflow.
N01556,D00875,A01068,2026-03-15,Deal slowed after prospect compared collaboration features with Canva.
N01557,D00875,A01068,2026-03-04,Customer raised concerns that Canva is already adopted by the team.
N01558,D00876,A01006,2025-02-14,Customer responded well to collaboration features and ease of use.
N01559,D00876,A01006,2025-03-07,Prospect liked the template library and fast export workflow.
N01560,D00877,A00737,2025-05-06,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01561,D00877,A00737,2025-05-24,Prospect said onboarding seemed harder than expected for their team.
N01562,D00878,A00942,2025-08-02,Buyer saw strong value in the AI-assisted design tools.
N01563,D00878,A00942,2025-07-28,Team liked the ease of onboarding and quick time to value.
N01564,D00879,A01166,2026-03-03,Customer responded well to collaboration features and ease of use.
N01565,D00880,A01672,2025-03-18,Prospect liked the template library and fast export workflow.
N01566,D00880,A01672,2025-03-09,Prospect liked the template library and fast export workflow.
N01567,D00881,A00176,2025-09-29,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01568,D00881,A00176,2025-09-17,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01569,D00882,A01678,2025-07-16,Deal slowed after prospect compared collaboration features with Adobe Express.
N01570,D00882,A01678,2025-08-03,Customer raised concerns that Adobe Express is already adopted by the team.
N01571,D00883,A00449,2025-02-11,Deal slowed after prospect compared collaboration features with Adobe Express.
N01572,D00884,A00592,2026-01-03,Buyer saw strong value in the AI-assisted design tools.
N01573,D00884,A00592,2026-01-05,Customer responded well to collaboration features and ease of use.
N01574,D00885,A00082,2025-10-01,Customer responded well to collaboration features and ease of use.
N01575,D00885,A00082,2025-10-09,Team liked the ease of onboarding and quick time to value.
N01576,D00885,A00082,2025-10-07,Team liked the ease of onboarding and quick time to value.
N01577,D00886,A00135,2025-09-08,Prospect liked the product but said Canva has stronger template variety.
N01578,D00886,A00135,2025-09-13,Deal slowed after prospect compared collaboration features with Canva.
N01579,D00886,A00135,2025-10-01,Deal slowed after prospect compared collaboration features with Canva.
N01580,D00887,A01743,2026-04-01,Prospect liked the product but said Canva has stronger template variety.
N01581,D00887,A01743,2026-04-06,Customer raised concerns that Canva is already adopted by the team.
N01582,D00888,A00856,2025-03-03,Prospect liked the product but said Adobe Express has stronger template variety.
N01583,D00888,A00856,2025-02-13,Prospect liked the product but said Adobe Express has stronger template variety.
N01584,D00889,A01201,2025-09-12,Prospect liked the product but said Figma has stronger template variety.
N01585,D00889,A01201,2025-08-28,Prospect liked the product but said Figma has stronger template variety.
N01586,D00890,A01407,2025-05-21,Prospect liked the template library and fast export workflow.
N01587,D00890,A01407,2025-06-08,Buyer saw strong value in the AI-assisted design tools.
N01588,D00891,A01267,2025-12-22,Prospect liked the product but said Canva has stronger template variety.
N01589,D00892,A01591,2025-03-07,Buyer saw strong value in the AI-assisted design tools.
N01590,D00892,A01591,2025-03-14,Buyer saw strong value in the AI-assisted design tools.
N01591,D00892,A01591,2025-03-04,Team liked the ease of onboarding and quick time to value.
N01592,D00893,A01165,2025-09-16,Deal slowed after prospect compared collaboration features with Adobe Express.
N01593,D00893,A01165,2025-09-14,Prospect liked the product but said Adobe Express has stronger template variety.
N01594,D00893,A01165,2025-08-26,Prospect liked the product but said Adobe Express has stronger template variety.
N01595,D00894,A01481,2026-02-19,Customer responded well to collaboration features and ease of use.
N01596,D00894,A01481,2026-03-18,Team liked the ease of onboarding and quick time to value.
N01597,D00894,A01481,2026-03-06,Customer responded well to collaboration features and ease of use.
N01598,D00895,A00440,2025-05-26,Prospect liked the product but said Canva has stronger template variety.
N01599,D00896,A01080,2025-07-31,Prospect said onboarding seemed harder than expected for their team.
N01600,D00896,A01080,2025-08-18,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01601,D00896,A01080,2025-07-26,Prospect said onboarding seemed harder than expected for their team.
N01602,D00897,A01551,2025-12-30,Customer raised concerns that Canva is already adopted by the team.
N01603,D00897,A01551,2026-01-04,Prospect liked the product but said Canva has stronger template variety.
N01604,D00897,A01551,2026-01-14,Customer raised concerns that Canva is already adopted by the team.
N01605,D00898,A00697,2025-07-12,Customer responded well to collaboration features and ease of use.
N01606,D00899,A01850,2025-01-30,Prospect liked the product but said Canva has stronger template variety.
N01607,D00899,A01850,2025-01-27,Prospect liked the product but said Canva has stronger template variety.
N01608,D00900,A00419,2025-02-06,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01609,D00901,A00088,2026-04-07,Prospect liked the template library and fast export workflow.
N01610,D00902,A01633,2025-04-12,Team liked the ease of onboarding and quick time to value.
N01611,D00903,A00656,2026-02-13,Team liked the ease of onboarding and quick time to value.
N01612,D00903,A00656,2026-02-10,Customer responded well to collaboration features and ease of use.
N01613,D00904,A01032,2025-11-09,Deal slowed after prospect compared collaboration features with Adobe Express.
N01614,D00904,A01032,2025-11-11,Deal slowed after prospect compared collaboration features with Adobe Express.
N01615,D00905,A01501,2025-08-04,Team liked the ease of onboarding and quick time to value.
N01616,D00905,A01501,2025-08-09,Prospect liked the template library and fast export workflow.
N01617,D00906,A00215,2025-09-01,Prospect liked the product but said Canva has stronger template variety.
N01618,D00907,A01709,2025-06-19,Prospect liked the product but said Adobe Express has stronger template variety.
N01619,D00908,A01759,2026-01-07,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01620,D00908,A01759,2026-01-23,Prospect said onboarding seemed harder than expected for their team.
N01621,D00909,A00552,2025-02-02,Team liked the ease of onboarding and quick time to value.
N01622,D00910,A01521,2025-08-07,Prospect said onboarding seemed harder than expected for their team.
N01623,D00910,A01521,2025-08-02,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01624,D00910,A01521,2025-08-22,Prospect said onboarding seemed harder than expected for their team.
N01625,D00911,A01718,2025-07-19,Team liked the ease of onboarding and quick time to value.
N01626,D00911,A01718,2025-07-22,Buyer saw strong value in the AI-assisted design tools.
N01627,D00912,A00503,2025-04-15,Buyer saw strong value in the AI-assisted design tools.
N01628,D00913,A01806,2025-11-01,Prospect said onboarding seemed harder than expected for their team.
N01629,D00914,A00699,2025-12-21,Prospect liked the product but said Figma has stronger template variety.
N01630,D00915,A00245,2025-08-06,Prospect liked the product but said Piktochart has stronger template variety.
N01631,D00915,A00245,2025-08-10,Prospect liked the product but said Piktochart has stronger template variety.
N01632,D00915,A00245,2025-08-13,Customer raised concerns that Piktochart is already adopted by the team.
N01633,D00916,A01502,2025-11-29,Prospect liked the product but said Canva has stronger template variety.
N01634,D00916,A01502,2025-11-29,Customer raised concerns that Canva is already adopted by the team.
N01635,D00917,A00309,2025-04-10,Team liked the ease of onboarding and quick time to value.
N01636,D00917,A00309,2025-04-20,Buyer saw strong value in the AI-assisted design tools.
N01637,D00918,A00231,2025-08-06,Customer responded well to collaboration features and ease of use.
N01638,D00919,A01407,2025-01-26,Customer raised concerns that Figma is already adopted by the team.
N01639,D00919,A01407,2025-01-15,Prospect liked the product but said Figma has stronger template variety.
N01640,D00919,A01407,2025-01-13,Customer raised concerns that Figma is already adopted by the team.
N01641,D00920,A00155,2026-03-09,Team liked the ease of onboarding and quick time to value.
N01642,D00920,A00155,2026-03-01,Prospect liked the template library and fast export workflow.
N01643,D00920,A00155,2026-03-22,Team liked the ease of onboarding and quick time to value.
N01644,D00921,A01199,2025-11-29,Prospect liked the template library and fast export workflow.
N01645,D00922,A00848,2025-07-20,Team liked the ease of onboarding and quick time to value.
N01646,D00922,A00848,2025-07-16,Team liked the ease of onboarding and quick time to value.
N01647,D00922,A00848,2025-07-11,Buyer saw strong value in the AI-assisted design tools.
N01648,D00923,A00115,2026-01-14,Prospect liked the product but said Piktochart has stronger template variety.
N01649,D00924,A01414,2026-02-28,Customer raised concerns that Canva is already adopted by the team.
N01650,D00924,A01414,2026-03-14,Deal slowed after prospect compared collaboration features with Canva.
N01651,D00925,A00311,2026-03-01,Prospect liked the template library and fast export workflow.
N01652,D00925,A00311,2026-02-16,Buyer saw strong value in the AI-assisted design tools.
N01653,D00925,A00311,2026-02-19,Team liked the ease of onboarding and quick time to value.
N01654,D00926,A00993,2025-03-30,Customer raised concerns that Canva is already adopted by the team.
N01655,D00927,A00300,2025-09-06,Prospect liked the template library and fast export workflow.
N01656,D00927,A00300,2025-09-05,Prospect liked the template library and fast export workflow.
N01657,D00927,A00300,2025-08-31,Buyer saw strong value in the AI-assisted design tools.
N01658,D00928,A01042,2025-06-25,Customer responded well to collaboration features and ease of use.
N01659,D00929,A00784,2026-02-27,Customer raised concerns that Canva is already adopted by the team.
N01660,D00930,A00012,2025-04-11,Prospect liked the product but said Adobe Express has stronger template variety.
N01661,D00930,A00012,2025-04-25,Customer raised concerns that Adobe Express is already adopted by the team.
N01662,D00931,A01428,2025-07-22,Customer raised concerns that Adobe Express is already adopted by the team.
N01663,D00931,A01428,2025-07-17,Deal slowed after prospect compared collaboration features with Adobe Express.
N01664,D00932,A01837,2025-08-24,Team liked the ease of onboarding and quick time to value.
N01665,D00932,A01837,2025-08-20,Customer responded well to collaboration features and ease of use.
N01666,D00933,A01728,2025-09-16,Team liked the ease of onboarding and quick time to value.
N01667,D00933,A01728,2025-08-29,Team liked the ease of onboarding and quick time to value.
N01668,D00933,A01728,2025-09-15,Customer responded well to collaboration features and ease of use.
N01669,D00934,A00232,2025-02-02,Buyer saw strong value in the AI-assisted design tools.
N01670,D00935,A00955,2026-02-22,Buyer saw strong value in the AI-assisted design tools.
N01671,D00935,A00955,2026-02-24,Buyer saw strong value in the AI-assisted design tools.
N01672,D00935,A00955,2026-02-25,Prospect liked the template library and fast export workflow.
N01673,D00936,A01629,2025-12-08,Buyer saw strong value in the AI-assisted design tools.
N01674,D00937,A00730,2026-01-06,Prospect liked the template library and fast export workflow.
N01675,D00937,A00730,2026-01-31,Buyer saw strong value in the AI-assisted design tools.
N01676,D00938,A01302,2025-12-27,Deal slowed after prospect compared collaboration features with Adobe Express.
N01677,D00939,A01377,2026-03-14,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01678,D00939,A01377,2026-03-15,Prospect said onboarding seemed harder than expected for their team.
N01679,D00940,A01018,2025-08-08,Prospect liked the product but said Canva has stronger template variety.
N01680,D00940,A01018,2025-08-07,Deal slowed after prospect compared collaboration features with Canva.
N01681,D00940,A01018,2025-08-01,Deal slowed after prospect compared collaboration features with Canva.
N01682,D00941,A00999,2025-12-12,Customer raised concerns that Adobe Express is already adopted by the team.
N01683,D00941,A00999,2025-12-09,Deal slowed after prospect compared collaboration features with Adobe Express.
N01684,D00941,A00999,2025-12-30,Deal slowed after prospect compared collaboration features with Adobe Express.
N01685,D00942,A00303,2025-03-06,Team liked the ease of onboarding and quick time to value.
N01686,D00942,A00303,2025-03-03,Customer responded well to collaboration features and ease of use.
N01687,D00943,A00541,2026-01-31,Prospect liked the template library and fast export workflow.
N01688,D00943,A00541,2026-02-08,Prospect liked the template library and fast export workflow.
N01689,D00944,A00470,2025-06-10,Customer responded well to collaboration features and ease of use.
N01690,D00945,A00813,2025-10-29,Prospect liked the product but said Canva has stronger template variety.
N01691,D00946,A00077,2026-01-30,Customer raised concerns that Canva is already adopted by the team.
N01692,D00947,A01020,2025-12-04,Team liked the ease of onboarding and quick time to value.
N01693,D00948,A01545,2025-03-24,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01694,D00948,A01545,2025-03-17,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01695,D00949,A00024,2025-06-25,Buyer saw strong value in the AI-assisted design tools.
N01696,D00949,A00024,2025-07-08,Buyer saw strong value in the AI-assisted design tools.
N01697,D00950,A01039,2026-02-16,Customer responded well to collaboration features and ease of use.
N01698,D00950,A01039,2026-02-14,Customer responded well to collaboration features and ease of use.
N01699,D00950,A01039,2026-02-24,Team liked the ease of onboarding and quick time to value.
N01700,D00951,A00676,2025-02-26,Customer responded well to collaboration features and ease of use.
N01701,D00951,A00676,2025-03-16,Customer responded well to collaboration features and ease of use.
N01702,D00952,A00525,2026-01-22,Buyer saw strong value in the AI-assisted design tools.
N01703,D00953,A00347,2025-03-24,Team liked the ease of onboarding and quick time to value.
N01704,D00953,A00347,2025-04-05,Prospect liked the template library and fast export workflow.
N01705,D00954,A00172,2025-10-02,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01706,D00954,A00172,2025-10-12,Prospect said onboarding seemed harder than expected for their team.
N01707,D00955,A01893,2025-09-04,Prospect said onboarding seemed harder than expected for their team.
N01708,D00955,A01893,2025-08-18,Prospect said onboarding seemed harder than expected for their team.
N01709,D00955,A01893,2025-08-27,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01710,D00956,A01351,2025-09-25,Prospect liked the template library and fast export workflow.
N01711,D00956,A01351,2025-10-13,Customer responded well to collaboration features and ease of use.
N01712,D00956,A01351,2025-10-16,Buyer saw strong value in the AI-assisted design tools.
N01713,D00957,A00712,2025-10-04,Customer responded well to collaboration features and ease of use.
N01714,D00958,A01509,2026-02-01,Prospect liked the product but said Canva has stronger template variety.
N01715,D00958,A01509,2026-02-10,Customer raised concerns that Canva is already adopted by the team.
N01716,D00958,A01509,2026-01-20,Prospect liked the product but said Canva has stronger template variety.
N01717,D00959,A00489,2025-03-25,Buyer saw strong value in the AI-assisted design tools.
N01718,D00960,A01486,2025-04-13,Prospect liked the product but said Canva has stronger template variety.
N01719,D00961,A00378,2025-06-07,Team liked the ease of onboarding and quick time to value.
N01720,D00961,A00378,2025-06-14,Buyer saw strong value in the AI-assisted design tools.
N01721,D00962,A01612,2025-08-25,Team liked the ease of onboarding and quick time to value.
N01722,D00962,A01612,2025-08-19,Team liked the ease of onboarding and quick time to value.
N01723,D00963,A01188,2026-01-22,Prospect liked the template library and fast export workflow.
N01724,D00964,A00372,2025-02-17,Buyer saw strong value in the AI-assisted design tools.
N01725,D00964,A00372,2025-02-09,Team liked the ease of onboarding and quick time to value.
N01726,D00965,A01597,2025-06-23,Prospect liked the template library and fast export workflow.
N01727,D00965,A01597,2025-07-13,Customer responded well to collaboration features and ease of use.
N01728,D00966,A01000,2025-09-25,Deal slowed after prospect compared collaboration features with Canva.
N01729,D00967,A00977,2026-01-22,Deal slowed after prospect compared collaboration features with Canva.
N01730,D00967,A00977,2026-01-10,Customer raised concerns that Canva is already adopted by the team.
N01731,D00967,A00977,2026-01-08,Customer raised concerns that Canva is already adopted by the team.
N01732,D00968,A01448,2025-07-20,Deal slowed after prospect compared collaboration features with Adobe Express.
N01733,D00968,A01448,2025-08-15,Deal slowed after prospect compared collaboration features with Adobe Express.
N01734,D00969,A00757,2025-09-11,Deal slowed after prospect compared collaboration features with Adobe Express.
N01735,D00970,A00477,2025-02-12,Customer raised concerns that Adobe Express is already adopted by the team.
N01736,D00971,A00382,2025-11-13,Deal slowed after prospect compared collaboration features with Canva.
N01737,D00972,A00155,2025-02-16,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01738,D00972,A00155,2025-02-12,Prospect said onboarding seemed harder than expected for their team.
N01739,D00972,A00155,2025-02-09,Prospect said onboarding seemed harder than expected for their team.
N01740,D00973,A00257,2025-01-29,Team liked the ease of onboarding and quick time to value.
N01741,D00973,A00257,2025-02-05,Buyer saw strong value in the AI-assisted design tools.
N01742,D00974,A01780,2025-05-10,Deal slowed after prospect compared collaboration features with Adobe Express.
N01743,D00974,A01780,2025-05-08,Customer raised concerns that Adobe Express is already adopted by the team.
N01744,D00975,A00674,2025-07-08,Prospect liked the product but said Canva has stronger template variety.
N01745,D00976,A00068,2025-07-18,Prospect liked the template library and fast export workflow.
N01746,D00976,A00068,2025-07-05,Team liked the ease of onboarding and quick time to value.
N01747,D00977,A00344,2025-06-28,Prospect liked the template library and fast export workflow.
N01748,D00977,A00344,2025-07-07,Customer responded well to collaboration features and ease of use.
N01749,D00978,A01301,2025-10-09,Buyer saw strong value in the AI-assisted design tools.
N01750,D00979,A00673,2025-02-27,Deal slowed after prospect compared collaboration features with Canva.
N01751,D00980,A00391,2025-12-03,Prospect liked the product but said Canva has stronger template variety.
N01752,D00980,A00391,2025-12-09,Customer raised concerns that Canva is already adopted by the team.
N01753,D00981,A01473,2025-08-05,Customer raised concerns that Canva is already adopted by the team.
N01754,D00981,A01473,2025-08-11,Deal slowed after prospect compared collaboration features with Canva.
N01755,D00982,A00259,2025-05-28,Prospect liked the template library and fast export workflow.
N01756,D00982,A00259,2025-05-23,Customer responded well to collaboration features and ease of use.
N01757,D00983,A00307,2025-11-19,Prospect liked the product but said Canva has stronger template variety.
N01758,D00983,A00307,2025-11-25,Prospect liked the product but said Canva has stronger template variety.
N01759,D00984,A01871,2025-07-22,Prospect liked the template library and fast export workflow.
N01760,D00984,A01871,2025-08-06,Buyer saw strong value in the AI-assisted design tools.
N01761,D00985,A01119,2025-08-23,Team liked the ease of onboarding and quick time to value.
N01762,D00985,A01119,2025-08-05,Team liked the ease of onboarding and quick time to value.
N01763,D00986,A00950,2025-01-15,Prospect said onboarding seemed harder than expected for their team.
N01764,D00987,A01488,2026-02-15,Prospect liked the template library and fast export workflow.
N01765,D00988,A00970,2026-03-31,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01766,D00988,A00970,2026-03-13,Prospect said onboarding seemed harder than expected for their team.
N01767,D00989,A00246,2025-08-07,Customer raised concerns that Canva is already adopted by the team.
N01768,D00990,A00733,2025-10-24,Prospect said onboarding seemed harder than expected for their team.
N01769,D00990,A00733,2025-10-20,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N01770,D00991,A01659,2025-12-11,Customer responded well to collaboration features and ease of use.
N01771,D00991,A01659,2025-12-02,Buyer saw strong value in the AI-assisted design tools.
N01772,D00991,A01659,2025-11-16,Buyer saw strong value in the AI-assisted design tools.
N01773,D00992,A00187,2025-06-17,Customer raised concerns that Adobe Express is already adopted by the team.
N01774,D00992,A00187,2025-05-26,Prospect liked the product but said Adobe Express has stronger template variety.
N01775,D00993,A01798,2025-12-10,Team liked the ease of onboarding and quick time to value.
N01776,D00994,A00925,2025-10-28,Prospect liked the product but said Canva has stronger template variety.
N01777,D00995,A00785,2026-03-27,Customer responded well to collaboration features and ease of use.
N01778,D00996,A01397,2026-03-08,Prospect liked the product but said Figma has stronger template variety.
N01779,D00996,A01397,2026-02-27,Customer raised concerns that Figma is already adopted by the team.
N01780,D00997,A01596,2025-09-03,Team liked the ease of onboarding and quick time to value.
N01781,D00998,A01430,2025-11-30,Customer raised concerns that Canva is already adopted by the team.
N01782,D00999,A00408,2025-11-11,Prospect liked the product but said Canva has stronger template variety.
N01783,D00999,A00408,2025-11-14,Deal slowed after prospect compared collaboration features with Canva.
N01784,D00999,A00408,2025-11-28,Customer raised concerns that Canva is already adopted by the team.
N01785,D01000,A01149,2025-11-08,Deal slowed after prospect compared collaboration features with Adobe Express.
N01786,D01001,A01361,2025-12-22,Prospect liked the template library and fast export workflow.
N01787,D01001,A01361,2025-12-18,Team liked the ease of onboarding and quick time to value.
N01788,D01002,A00341,2026-03-23,Prospect liked the template library and fast export workflow.
N01789,D01002,A00341,2026-03-09,Prospect liked the template library and fast export workflow.
N01790,D01003,A00563,2025-07-22,Team liked the ease of onboarding and quick time to value.
N01791,D01003,A00563,2025-07-26,Team liked the ease of onboarding and quick time to value.
N01792,D01003,A00563,2025-07-27,Customer responded well to collaboration features and ease of use.
N01793,D01004,A01202,2026-03-03,Customer raised concerns that Canva is already adopted by the team.
N01794,D01004,A01202,2026-03-08,Deal slowed after prospect compared collaboration features with Canva.
N01795,D01005,A00651,2025-09-07,Prospect liked the product but said Adobe Express has stronger template variety.
