cancellation_id,account_id,cancellation_date,tenure_months,refund_requested,cancellation_reason_text,churned_revenue,reason_type,category,subcategory,matched_terms,confidence
C00204,A01890,2025-05-05,1,False,Customer cancelled after low product usage over the last month.,48,low_usage,Uncategorized,unclear_signal,,0.25
C00205,A01898,2026-01-01,15,False,Account cancelled due to pricing concerns relative to usage.,60,pricing,Commercial,pricing_concerns,pricing,0.6
C00206,A01919,2025-04-04,2,False,Account churned after preferring a competitor's template ecosystem.,180,competitor_switch,Product,missing_templates,template,0.6
C00207,A01921,2025-04-14,12,False,Customer reported repeated performance issues and slow editing experience.,180,performance,Product,performance_reliability,"performance, slow",0.7
C00208,A01924,2025-07-26,14,False,Account cancelled due to pricing concerns relative to usage.,48,pricing,Commercial,pricing_concerns,pricing,0.6
C00209,A01927,2026-01-11,22,False,User moved to Adobe Express for familiarity and existing workflows.,12,competitor_switch,Competitive,competitor_advantage,"existing workflows, familiarity",0.7
C00210,A01935,2026-02-22,1,False,Customer reported repeated performance issues and slow editing experience.,12,performance,Product,performance_reliability,"performance, slow",0.7
C00211,A01937,2025-07-31,7,False,User did not create enough projects to justify the subscription.,48,low_usage,Adoption / Value Realization,low_usage,"did not create, justify the subscription",0.7
C00212,A01976,2025-02-18,4,False,Customer switched to Canva because the broader team already uses it.,60,competitor_switch,Competitive,competitor_switch,"canva, switched",0.7
C00213,A01977,2025-03-10,3,False,Account showed weak adoption and limited ongoing engagement.,12,low_usage,Operational,onboarding_confusion,adoption,0.6
C00214,A01988,2025-11-15,1,False,Customer said the subscription cost no longer felt justified.,12,pricing,Commercial,pricing_concerns,cost,0.6
