note_id,deal_id,account_id,note_date,note_text,category,subcategory,matched_terms,confidence
N01110,D00627,A01516,2025-03-18,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01111,D00628,A00575,2026-02-06,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01112,D00628,A00575,2026-02-13,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01113,D00629,A00347,2025-07-25,Deal slowed after prospect compared collaboration features with Figma.,Product,missing_features,feature,0.6
N01114,D00629,A00347,2025-07-18,Deal slowed after prospect compared collaboration features with Figma.,Product,missing_features,feature,0.6
N01115,D00630,A00820,2025-12-02,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01116,D00631,A01511,2025-09-09,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01117,D00631,A01511,2025-09-09,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01118,D00632,A01497,2026-02-03,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01119,D00633,A00382,2025-10-26,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N01120,D00634,A01304,2026-03-04,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01121,D00635,A00072,2026-03-04,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01122,D00636,A00521,2025-12-06,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N01123,D00636,A00521,2025-12-17,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01124,D00637,A01390,2025-04-13,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01125,D00637,A01390,2025-03-27,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N01126,D00638,A00933,2026-02-05,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01127,D00638,A00933,2026-01-29,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N01128,D00639,A01118,2025-02-07,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01129,D00639,A01118,2025-01-28,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01130,D00640,A01397,2025-06-18,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01131,D00640,A01397,2025-07-01,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01132,D00640,A01397,2025-06-27,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01133,D00641,A00339,2025-02-11,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01134,D00641,A00339,2025-02-04,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01135,D00641,A00339,2025-02-14,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01136,D00642,A01461,2025-05-16,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01137,D00643,A01360,2026-02-09,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01138,D00644,A00664,2025-10-31,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01139,D00645,A01516,2025-04-20,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01140,D00645,A01516,2025-05-04,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01141,D00645,A01516,2025-05-09,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01142,D00646,A01941,2025-03-30,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01143,D00647,A01892,2025-06-02,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01144,D00647,A01892,2025-06-02,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01145,D00648,A00040,2025-11-12,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01146,D00648,A00040,2025-11-23,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01147,D00649,A01383,2025-01-21,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01148,D00649,A01383,2025-01-14,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01149,D00650,A00574,2025-06-22,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01150,D00651,A01278,2025-03-28,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01151,D00652,A00966,2025-04-27,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01152,D00653,A00581,2025-11-14,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01153,D00653,A00581,2025-12-04,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01154,D00654,A01422,2025-05-09,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N01155,D00654,A01422,2025-05-09,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01156,D00655,A01781,2025-07-07,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N01157,D00655,A01781,2025-07-25,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N01158,D00656,A01901,2025-05-11,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01159,D00656,A01901,2025-05-06,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01160,D00657,A00170,2025-12-22,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01161,D00658,A01714,2025-02-08,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01162,D00659,A00701,2025-07-04,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01163,D00659,A00701,2025-06-24,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01164,D00660,A00511,2025-10-13,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01165,D00660,A00511,2025-11-01,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01166,D00660,A00511,2025-10-24,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01167,D00661,A01284,2025-02-21,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01168,D00662,A00584,2025-08-17,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N01169,D00662,A00584,2025-08-27,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01170,D00663,A00984,2025-05-05,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N01171,D00663,A00984,2025-05-02,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N01172,D00664,A00459,2025-05-17,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N01173,D00664,A00459,2025-04-28,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01174,D00665,A00529,2025-04-11,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01175,D00666,A01906,2025-04-10,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N01176,D00666,A01906,2025-04-08,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N01177,D00666,A01906,2025-03-13,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N01178,D00667,A00341,2025-06-22,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01179,D00668,A00057,2025-03-01,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01180,D00669,A00218,2025-05-10,Prospect liked the product but said Figma has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01181,D00669,A00218,2025-04-26,Prospect liked the product but said Figma has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01182,D00670,A00619,2025-10-30,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01183,D00670,A00619,2025-10-16,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01184,D00671,A00816,2025-05-18,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01185,D00672,A01964,2025-08-23,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01186,D00673,A01709,2025-05-02,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N01187,D00674,A00731,2025-01-25,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01188,D00674,A00731,2025-02-20,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01189,D00674,A00731,2025-01-30,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01190,D00675,A00464,2025-08-16,Deal slowed after prospect compared collaboration features with Figma.,Product,missing_features,feature,0.6
N01191,D00676,A00247,2025-10-24,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01192,D00677,A00730,2025-05-18,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01193,D00678,A00373,2025-04-05,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01194,D00678,A00373,2025-04-18,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01195,D00678,A00373,2025-04-10,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01196,D00679,A00417,2025-09-20,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01197,D00679,A00417,2025-08-30,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01198,D00679,A00417,2025-09-14,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01199,D00680,A01055,2025-12-07,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01200,D00680,A01055,2025-11-28,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01201,D00681,A00368,2025-08-05,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01202,D00682,A00559,2026-02-16,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N01203,D00683,A01670,2026-02-05,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01204,D00683,A01670,2026-02-04,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01205,D00683,A01670,2026-01-18,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01206,D00684,A00108,2025-09-12,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01207,D00685,A00584,2025-11-09,Prospect liked the product but said Figma has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01208,D00685,A00584,2025-10-23,Deal slowed after prospect compared collaboration features with Figma.,Product,missing_features,feature,0.6
N01209,D00686,A00839,2025-04-01,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01210,D00686,A00839,2025-04-07,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01211,D00687,A00418,2026-02-02,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01212,D00687,A00418,2026-01-29,Customer raised concerns that Piktochart is already adopted by the team.,Competitive,competitor_switch,piktochart,0.6
N01213,D00687,A00418,2026-02-07,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01214,D00688,A01644,2025-04-27,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01215,D00688,A01644,2025-05-25,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01216,D00689,A00821,2025-06-01,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01217,D00690,A01422,2025-09-17,Deal slowed after prospect compared collaboration features with Piktochart.,Product,missing_features,feature,0.6
N01218,D00690,A01422,2025-09-18,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01219,D00691,A01296,2026-03-14,Prospect liked the product but said Figma has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01220,D00691,A01296,2026-03-02,Prospect liked the product but said Figma has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01221,D00692,A00683,2025-12-12,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01222,D00692,A00683,2025-12-19,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01223,D00692,A00683,2025-12-19,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01224,D00693,A01140,2025-03-08,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01225,D00693,A01140,2025-03-04,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01226,D00693,A01140,2025-03-08,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01227,D00694,A01865,2025-02-28,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01228,D00694,A01865,2025-03-27,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01229,D00695,A01610,2025-03-19,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01230,D00696,A00256,2025-10-16,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01231,D00696,A00256,2025-10-21,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01232,D00697,A01105,2025-12-09,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01233,D00697,A01105,2025-12-18,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01234,D00697,A01105,2025-12-21,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01235,D00698,A00780,2025-05-08,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01236,D00698,A00780,2025-05-18,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01237,D00699,A01152,2025-12-09,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01238,D00699,A01152,2025-12-11,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01239,D00700,A00838,2026-03-20,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01240,D00701,A00915,2026-03-05,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01241,D00702,A00235,2025-06-05,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01242,D00702,A00235,2025-06-01,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01243,D00703,A00553,2025-11-16,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01244,D00703,A00553,2025-11-19,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01245,D00703,A00553,2025-11-29,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01246,D00704,A00181,2026-03-26,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01247,D00704,A00181,2026-03-17,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01248,D00704,A00181,2026-03-31,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01249,D00705,A00157,2025-06-21,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01250,D00706,A01478,2025-04-23,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N01251,D00706,A01478,2025-04-19,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N01252,D00706,A01478,2025-04-16,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01253,D00707,A00571,2025-04-05,Deal slowed after prospect compared collaboration features with Piktochart.,Product,missing_features,feature,0.6
N01254,D00707,A00571,2025-03-27,Customer raised concerns that Piktochart is already adopted by the team.,Competitive,competitor_switch,piktochart,0.6
N01255,D00708,A00857,2025-06-15,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01256,D00708,A00857,2025-06-26,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N01257,D00709,A01785,2025-04-02,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01258,D00709,A01785,2025-04-15,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01259,D00710,A01728,2025-10-28,Deal slowed after prospect compared collaboration features with Figma.,Product,missing_features,feature,0.6
N01260,D00711,A01048,2026-02-04,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01261,D00712,A01497,2025-07-08,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N01262,D00712,A01497,2025-06-25,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N01263,D00713,A01424,2025-12-18,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01264,D00713,A01424,2026-01-09,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01265,D00714,A00948,2026-03-17,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01266,D00715,A00592,2025-11-20,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01267,D00715,A00592,2025-11-13,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N01268,D00716,A00134,2026-02-04,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01269,D00716,A00134,2026-01-28,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01270,D00716,A00134,2026-02-27,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01271,D00717,A00421,2026-01-01,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01272,D00718,A00213,2025-07-05,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01273,D00719,A00900,2025-08-23,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01274,D00720,A00482,2025-07-04,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01275,D00721,A00348,2025-08-25,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01276,D00722,A00166,2026-01-10,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01277,D00723,A00937,2025-03-11,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01278,D00723,A00937,2025-03-12,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01279,D00723,A00937,2025-02-28,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01280,D00724,A00348,2025-07-14,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01281,D00724,A00348,2025-06-27,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01282,D00725,A00849,2025-05-21,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01283,D00725,A00849,2025-06-13,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01284,D00726,A00398,2026-02-04,Customer raised concerns that Figma is already adopted by the team.,Competitive,competitor_switch,figma,0.6
N01285,D00726,A00398,2026-02-08,Prospect liked the product but said Figma has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01286,D00726,A00398,2026-02-10,Customer raised concerns that Figma is already adopted by the team.,Competitive,competitor_switch,figma,0.6
N01287,D00727,A00583,2025-11-06,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01288,D00727,A00583,2025-11-07,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01289,D00728,A00726,2025-09-25,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01290,D00728,A00726,2025-09-17,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01291,D00728,A00726,2025-09-13,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01292,D00729,A01459,2025-01-26,Deal slowed after prospect compared collaboration features with Piktochart.,Product,missing_features,feature,0.6
N01293,D00730,A01601,2025-11-22,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01294,D00730,A01601,2025-12-07,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01295,D00731,A01245,2026-01-05,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01296,D00731,A01245,2026-01-17,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01297,D00732,A00308,2025-10-07,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N01298,D00732,A00308,2025-09-10,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N01299,D00732,A00308,2025-10-05,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01300,D00733,A00991,2025-06-12,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01301,D00733,A00991,2025-05-26,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01302,D00734,A00798,2025-10-23,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01303,D00735,A01721,2025-07-08,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01304,D00736,A00719,2025-07-25,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01305,D00736,A00719,2025-07-25,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01306,D00736,A00719,2025-07-29,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01307,D00737,A00466,2025-12-24,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N01308,D00737,A00466,2025-12-12,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01309,D00738,A00099,2026-01-31,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N01310,D00738,A00099,2026-02-04,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01311,D00739,A01266,2026-02-27,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01312,D00740,A00158,2025-07-24,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01313,D00740,A00158,2025-07-03,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01314,D00741,A00610,2026-02-20,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01315,D00741,A00610,2026-02-17,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01316,D00742,A00554,2025-03-23,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01317,D00742,A00554,2025-03-24,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01318,D00743,A00651,2026-02-22,Customer raised concerns that Piktochart is already adopted by the team.,Competitive,competitor_switch,piktochart,0.6
N01319,D00743,A00651,2026-03-06,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N01320,D00744,A01819,2025-03-27,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01321,D00744,A01819,2025-03-18,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N01322,D00744,A01819,2025-03-27,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01323,D00745,A00920,2025-08-01,Customer raised concerns that Figma is already adopted by the team.,Competitive,competitor_switch,figma,0.6
N01324,D00746,A00227,2025-04-18,Deal slowed after prospect compared collaboration features with Piktochart.,Product,missing_features,feature,0.6
N01325,D00746,A00227,2025-04-26,Deal slowed after prospect compared collaboration features with Piktochart.,Product,missing_features,feature,0.6
N01326,D00746,A00227,2025-04-15,Customer raised concerns that Piktochart is already adopted by the team.,Competitive,competitor_switch,piktochart,0.6
N01327,D00747,A00423,2025-05-02,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01328,D00748,A01096,2025-04-05,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01329,D00748,A01096,2025-03-08,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01330,D00748,A01096,2025-03-11,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01331,D00749,A00243,2025-09-29,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01332,D00749,A00243,2025-10-03,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01333,D00749,A00243,2025-09-11,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01334,D00750,A00530,2025-12-05,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01335,D00751,A01613,2025-02-06,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N01336,D00752,A01069,2025-03-08,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N01337,D00753,A01496,2025-12-21,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N01338,D00753,A01496,2025-12-25,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01339,D00754,A00371,2025-06-18,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01340,D00754,A00371,2025-06-05,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01341,D00755,A01879,2026-02-21,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01342,D00755,A01879,2026-02-12,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N01343,D00756,A00652,2025-02-20,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N01344,D00757,A00689,2025-05-26,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
